model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
logistic_regression,0.6064790228359002,0.5276345464869611,0.6064790228359002,0.5557052977384256,0.3886598896100173
random_forest,0.6776420605416887,0.6930420257917115,0.6776420605416887,0.6574601478898799,0.5217125243192848
xgboost,0.6633032395114179,0.6537785527815253,0.6633032395114179,0.6553556926786047,0.5466598275429223
