params,mean_test_score,std_test_score,rank_test_score
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.7708109784078537,0.09492992527260617,56
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7767346219687192,0.10227605100530177,36
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7803596944609347,0.09655638288502723,19
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7789612335878725,0.10052963220084041,27
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7804191873771472,0.09096529774937735,18
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",0.7795809283162642,0.10077279128202639,23
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.760545430266129,0.09915035330634071,72
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.765709661517082,0.0981272036608316,63
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7650464974271045,0.09822496416183486,65
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",0.7810795244699149,0.09684272951767256,16
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7742418380218723,0.09841196941451696,46
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 900, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7872214411976899,0.09141943583149828,1
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7658055804242687,0.09895877572060931,61
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.7589824017829916,0.10097348079310928,74
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7770200195685002,0.10527575798195786,35
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7438770870306923,0.10765727216276955,79
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7851710538670125,0.09658696936972753,4
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7776801248875791,0.1021754722973387,32
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 11, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7800644246382658,0.09747880204999909,21
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7844151546980346,0.09406116688574269,6
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7791170742302153,0.09484572865133306,26
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7641586505747856,0.0999518822224439,67
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",0.7755251938995249,0.09735717543991468,40
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7704822652955646,0.10314832130124331,57
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7744236440948533,0.09647920695805087,45
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.7641298763856367,0.10491871051258586,68
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7738086067538719,0.10107940951523005,49
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7657453358356721,0.09744194108318058,62
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7785023279602441,0.0990645857695659,31
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7793059798412323,0.10046400276003145,25
